Code	Occupation	Index_Inches	Gender_dominance_Number_MALE	Gender_dominance_Number_FEMALE	Gender_dominance_%_MALE	Gender_dominance_%_FEMALE	Glass_ceiling_MALE	Glass_ceiling_FEMALE	Glass_ceiling_RATIO	Glass_ceiling_%>180k_MALE	Glass_ceiling_%>180k_FEMALE	Glass_ceiling_RATIO_>180k	Glass_ceiling_%>80k_MALE	Glass_ceiling_%>80k_FEMALE	Glass_ceiling_RATIO_>80k	Glass_ceiling_%>37k_MALE	Glass_ceiling_%>37k_FEMALE	Glass_ceiling_RATIO_>37k	Salary_2009_MALE	Salary_2009_FEMALE	Salary_2009_DIFF	Salary_2013_MALE	Salary_2013_FEMALE	Salary_2013_DIFF	Progress_DOLLARS	Progress_PERCENT
1100	" Manager or director - type not specified, ATO RDCC"	2.8	1010	520	0.66	0.34	0.109	0.048	2.3	0.109	0.048	2.3	0.465	0.327	1.4	0.772	0.712	1.1	87887	66267	21620	87838	67640	20198	1422	0.066
1111	 Chief Executives and Managing Directors	4.1	106595	39760	0.73	0.27	0.199	0.105	1.9	0.199	0.105	1.9	0.471	0.351	1.3	0.759	0.673	1.1	114752	66307	48445	96188	55582	40606	7840	0.162
1112	 General Managers	5.8	138025	65350	0.68	0.32	0.142	0.055	2.6	0.142	0.055	2.6	0.535	0.316	1.7	0.871	0.761	1.1	101189	68401	32788	102767	66120	36647	-3859	-0.118
1113	 Legislators	2.4	2380	1815	0.57	0.43	0.134	0.061	2.2	0.134	0.061	2.2	0.393	0.237	1.7	0.687	0.592	1.2	84023	64243	19780	71703	55363	16340	3440	0.174
1210	 Farmers and Farm Managers	0.5	100	105	0.49	0.51	0.05	0.095	0.5	0	0	#DIV/0!	0	0	#DIV/0!	0.05	0.095	0.5	42507	24770	17737	14551	8323	6228	11509	0.649
1211	 Aquaculture Farmers	3.6	1415	230	0.86	0.14	0.007	0.022	0.3	0.007	0.022	0.3	0.117	0.043	2.7	0.59	0.37	1.6	49638	38655	10983	44796	28083	16713	-5730	-0.522
1212	 Crop Farmers	3.1	8425	2335	0.78	0.22	0.016	0.011	1.5	0.016	0.011	1.5	0.144	0.088	1.6	0.596	0.325	1.8	46102	30995	15107	39331	21528	17803	-2696	-0.178
1213	 Livestock Farmers	2.5	8715	2075	0.81	0.19	0.01	0.01	1	0.01	0.01	1	0.091	0.067	1.3	0.618	0.393	1.6	45600	33772	11828	41913	27017	14896	-3068	-0.259
1214	 Mixed Crop and Livestock Farmers	1.9	2740	550	0.83	0.17	0.02	0.036	0.6	0.02	0.036	0.6	0.144	0.182	0.8	0.635	0.482	1.3	42111	23324	18787	38455	19045	19409	-622	-0.033
1311	 Advertising and Sales Managers	4.9	98040	63920	0.61	0.39	0.096	0.038	2.5	0.096	0.038	2.5	0.505	0.299	1.7	0.888	0.774	1.1	94151	70135	24015	95050	67552	27497	-3482	-0.145
1321	 Corporate Services Managers	5.1	5110	4120	0.55	0.45	0.145	0.059	2.4	0.145	0.059	2.4	0.653	0.453	1.4	0.933	0.875	1.1	108930	82157	26773	113058	82699	30359	-3586	-0.134
1322	 Finance Managers	4.7	18305	13180	0.58	0.42	0.232	0.078	3	0.232	0.078	3	0.748	0.487	1.5	0.949	0.889	1.1	141427	87563	53864	143543	90219	53324	540	0.01
1323	 Human Resource Managers	4.3	7100	16145	0.31	0.69	0.154	0.083	1.9	0.154	0.083	1.9	0.683	0.53	1.3	0.941	0.893	1.1	111109	90009	21100	117697	93076	24621	-3521	-0.167
1324	 Policy and Planning Managers	3	18340	17665	0.51	0.49	0.094	0.048	2	0.094	0.048	2	0.858	0.721	1.2	0.977	0.948	1	105490	92090	13400	112442	96873	15569	-2169	-0.162
1325	 Research and Development Managers	5.8	4945	5885	0.46	0.54	0.095	0.027	3.5	0.095	0.027	3.5	0.579	0.336	1.7	0.878	0.778	1.1	93920	66800	27120	97424	66221	31204	-4084	-0.151
1331	 Construction Managers	4.9	48670	3165	0.94	0.06	0.087	0.032	2.7	0.087	0.032	2.7	0.508	0.357	1.4	0.861	0.817	1.1	84519	69655	14864	89715	69914	19801	-4937	-0.332
1332	 Engineering Managers	4.5	25870	1205	0.96	0.04	0.223	0.141	1.6	0.223	0.141	1.6	0.77	0.635	1.2	0.946	0.917	1	118286	95775	22511	132304	105616	26688	-4176	-0.186
1333	" Importers, Exporters and Wholesalers"	2.5	3020	1320	0.7	0.3	0.116	0.076	1.5	0.116	0.076	1.5	0.361	0.239	1.5	0.757	0.674	1.1	70801	49440	21361	65758	44205	21553	-192	-0.009
1334	 Manufacturers	4	16950	2480	0.87	0.13	0.021	0.01	2.1	0.021	0.01	2.1	0.302	0.105	2.9	0.861	0.659	1.3	67109	48164	18946	68580	46559	22021	-3076	-0.162
1335	 Production Managers	6.8	15510	2355	0.87	0.13	0.161	0.081	2	0.161	0.081	2	0.636	0.41	1.6	0.932	0.834	1.1	102075	70904	31171	112615	74397	38218	-7047	-0.226
1336	 Supply and Distribution Managers	3.4	10595	2560	0.81	0.19	0.07	0.039	1.8	0.07	0.039	1.8	0.512	0.346	1.5	0.936	0.844	1.1	85916	70696	15221	92481	74350	18131	-2911	-0.191
1341	 Child Care Centre Managers	2.7	365	7385	0.05	0.95	0.055	0.008	6.7	0.055	0.008	6.7	0.219	0.093	2.3	0.767	0.777	1	48904	51080	-2176	50462	51787	-1325	-852	0.391
1342	 Health and Welfare Services Managers	5.7	5225	22060	0.19	0.81	0.055	0.011	4.8	0.055	0.011	4.8	0.387	0.174	2.2	0.842	0.684	1.2	76396	55428	20967	77177	52072	25105	-4137	-0.197
1343	 School Principals	1.6	5695	5680	0.5	0.5	0.046	0.033	1.4	0.046	0.033	1.4	0.82	0.791	1	0.956	0.958	1	98071	93772	4299	108032	101959	6073	-1774	-0.413
1344	 Other Education Managers	4.2	1220	1730	0.41	0.59	0.086	0.035	2.5	0.086	0.035	2.5	0.631	0.46	1.4	0.877	0.835	1.1	93067	75488	17580	98577	77681	20895	-3316	-0.189
1351	 ICT Managers	3.5	45745	12770	0.78	0.22	0.119	0.066	1.8	0.119	0.066	1.8	0.705	0.551	1.3	0.943	0.888	1.1	108332	89703	18629	112799	91663	21135	-2507	-0.135
1391	 Commissioned Officers (Management)	2.5	8985	1915	0.82	0.18	0.027	0.013	2.1	0.027	0.013	2.1	0.466	0.342	1.4	0.911	0.888	1	73408	64885	8523	83813	73477	10335	-1812	-0.213
1392	 Senior Non-commissioned Defence Force Members	2.4	6695	790	0.89	0.11	0.025	0.006	4	0.025	0.006	4	0.56	0.361	1.6	0.95	0.924	1	82242	74064	8179	83761	76645	7116	1063	0.13
