Occupation	index_inches	Gender_dominance_Number_MALE	Gender_dominance_Number_FEMALE	Gender_dominance_%_MALE	Gender_dominance_%_FEMALE	Glass_cieling_%>180k_MALE	Glass_cieling_%>180k_FEMALE	Glass_cieling_RATIO_>180k	Glass_cieling_%>80k_MALE	Glass_cieling_%>80k_FEMALE	Glass_cieling_RATIO_>80k	Real Income_2009_MALE	Real Income_2009_FEMALE	Real Income_2009_DIFF	Real Income_2013_MALE	Real Income_2013_FEMALE	Real Income_2013_DIFF	Progress_DOLLARS	Progress_PERCENT
"Manager or director - type not specified, ATO RDCC"	4.7	1000	200	0.83	0.17	0.1	0.02	5	0.3	0.2	1.5	80000	60000	20000	85000	64000	21000	-1000	-0.05
Chief Executives and Managing Directors	7.7	9406	3195	0.75	0.25	0.13	0.07	1.89	0.48	0.33	1.45	73006	67772	5234	78596	69286	9310	-4076	-0.78
General Managers	1.9	1815	3261	0.36	0.64	0.11	0.05	2.15	0.33	0.27	1.24	83450	60763	22687	89561	61223	28337	-5650	-0.25
Legislators	8.0	10521	6124	0.63	0.37	0.11	0.03	3.49	0.48	0.2	2.34	74596	55194	19402	86135	64910	21225	-1823	-0.09
Farmers and Farm Managers	8.4	1202	4444	0.21	0.79	0.11	0.07	1.72	0.45	0.22	2.03	71167	65752	5416	87775	66787	20988	-15572	-2.88
Aquaculture Farmers	4.3	7595	3559	0.68	0.32	0.13	0.07	2.04	0.38	0.26	1.47	72227	65425	6802	84281	60181	24100	-17298	-2.54
Crop Farmers	2.3	7425	3036	0.71	0.29	0.13	0.04	3.3	0.42	0.45	0.94	84535	55675	28860	79882	64584	15298	13562	0.47
Livestock Farmers	7.6	1608	1170	0.58	0.42	0.15	0.06	2.53	0.43	0.44	1	82954	64951	18004	85747	72087	13660	4344	0.24
Mixed Crop and Livestock Farmers	2.7	7741	6821	0.53	0.47	0.14	0.07	1.99	0.59	0.43	1.39	76280	65723	10557	78330	67030	11299	-743	-0.07
Advertising and Sales Managers	9.1	1969	6499	0.23	0.77	0.14	0.07	2.16	0.33	0.48	0.7	79438	69476	9962	87432	60495	26936	-16975	-1.7
Corporate Services Managers	7.7	3039	6256	0.33	0.67	0.14	0.06	2.22	0.41	0.22	1.87	71269	61669	9600	86887	62766	24122	-14522	-1.51
Finance Managers	2.1	3882	3260	0.54	0.46	0.14	0.03	5.44	0.34	0.38	0.89	76003	69905	6098	87086	70594	16492	-10394	-1.7
Human Resource Managers	6.5	1111	2955	0.27	0.73	0.12	0.03	3.97	0.53	0.36	1.48	77521	55474	22047	83919	70315	13605	8442	0.38
Policy and Planning Managers	5.0	7713	6410	0.55	0.45	0.12	0.04	2.8	0.31	0.48	0.65	79132	63486	15646	76341	68223	8119	7528	0.48
Research and Development Managers	6.0	7807	2709	0.74	0.26	0.13	0.03	4.8	0.59	0.41	1.46	73784	67154	6630	89202	65715	23487	-16857	-2.54
Construction Managers	2.6	7037	5114	0.58	0.42	0.15	0.05	2.95	0.41	0.45	0.9	74446	64596	9850	86898	60648	26250	-16400	-1.66
Engineering Managers	7.3	6519	3966	0.62	0.38	0.13	0.03	4.21	0.48	0.21	2.32	84577	64979	19598	85575	67765	17811	1787	0.09
"Importers, Exporters and Wholesalers"	5.9	4958	5046	0.5	0.5	0.12	0.02	5.64	0.3	0.49	0.62	84766	69399	15367	81553	68236	13316	2050	0.13
Manufacturers	0.3	7179	3701	0.66	0.34	0.11	0.03	3.79	0.55	0.49	1.12	81782	67761	14020	88088	59639	28449	-14429	-1.03
Production Managers	5.6	6495	6792	0.49	0.51	0.13	0.05	2.55	0.32	0.43	0.74	82336	62791	19546	76715	58370	18345	1201	0.06
Supply and Distribution Managers	5.1	9367	4058	0.7	0.3	0.14	0.02	6.73	0.33	0.39	0.86	80864	62094	18771	75380	68035	7346	11425	0.61
Child Care Centre Managers	4.8	7155	6621	0.52	0.48	0.11	0.05	2.28	0.56	0.3	1.85	76038	57563	18475	78633	64931	13703	4773	0.26
Health and Welfare Services Managers	7.9	1170	5565	0.17	0.83	0.11	0.04	2.59	0.58	0.37	1.58	72309	61213	11095	89613	61344	28270	-17174	-1.55
School Principals	8.2	10460	3556	0.75	0.25	0.14	0.05	2.66	0.42	0.45	0.94	84457	59510	24947	81547	70237	11310	13637	0.55
Other Education Managers	2.4	1461	4883	0.23	0.77	0.13	0.04	3.56	0.38	0.44	0.87	81820	69993	11826	78793	70996	7797	4030	0.34
ICT Managers	10.0	2850	6855	0.29	0.71	0.12	0.07	1.71	0.6	0.2	2.98	78384	57112	21272	86460	59883	26577	-5305	-0.25
Commissioned Officers (Management)	1.1	2624	1084	0.71	0.29	0.11	0.03	4.01	0.5	0.33	1.54	75599	66300	9299	77567	59774	17793	-8494	-0.91
Senior Non-commissioned Defence Force Members	0.0	10393	3959	0.72	0.28	0.15	0.02	6.2	0.44	0.28	1.55	76107	64639	11469	77207	65735	11471	-3	0
Other Specialist Managers	6.9	9402	1601	0.85	0.15	0.13	0.05	2.46	0.31	0.47	0.65	82312	59196	23116	83211	71623	11588	11528	0.5
Cafe and Restaurant Managers	9.5	9208	2404	0.79	0.21	0.1	0.03	3.68	0.58	0.41	1.4	71377	56318	15059	87782	72154	15627	-568	-0.04
Caravan Park and Camping Ground Managers	8.5	3028	2297	0.57	0.43	0.15	0.04	3.96	0.4	0.39	1.03	81667	59349	22318	82408	61028	21380	938	0.04
Hotel and Motel Managers	6.2	6829	1033	0.87	0.13	0.13	0.06	2.33	0.57	0.31	1.86	82342	65902	16440	89068	69712	19356	-2917	-0.18
Licensed Club Managers	8.2	10549	1604	0.87	0.13	0.13	0.05	2.85	0.46	0.24	1.93	82064	68870	13193	79435	68010	11424	1769	0.13
Other Accommodation and Hospitality Managers	8.3	5792	6373	0.48	0.52	0.13	0.03	5.15	0.38	0.2	1.84	81290	64363	16927	83270	59058	24212	-7285	-0.43
Retail Managers	5.9	10205	2454	0.81	0.19	0.11	0.04	2.43	0.34	0.41	0.82	74808	55843	18965	81825	71888	9937	9028	0.48
"Amusement, Fitness and Sports Centre Managers"	9.9	2826	3364	0.46	0.54	0.1	0.03	3.53	0.41	0.2	2.06	73882	57118	16764	79150	68423	10727	6036	0.36
Call or Contact Centre and Customer Service Managers	8.2	10278	2970	0.78	0.22	0.11	0.05	2.02	0.36	0.25	1.41	74657	60096	14562	80690	70919	9772	4790	0.33
Conference and Event Organisers	9.5	8927	2647	0.77	0.23	0.14	0.04	3.96	0.41	0.44	0.93	75419	69801	5618	88397	71563	16833	-11216	-2
Transport Services Managers	5.5	9186	4699	0.66	0.34	0.12	0.04	2.91	0.42	0.37	1.13	80159	56318	23842	86019	68577	17441	6400	0.27
"Other Hospitality, Retail and Service Managers"	7.3	8930	1907	0.82	0.18	0.12	0.03	4.3	0.49	0.43	1.15	82596	59471	23124	78950	69197	9753	13371	0.58
"Actors, Dancers and Other Entertainers"	0.7	8872	3429	0.72	0.28	0.14	0.04	3.51	0.35	0.22	1.62	70936	57896	13040	82898	58388	24510	-11471	-0.88
Music Professionals	1.9	5344	5884	0.48	0.52	0.14	0.04	3.44	0.51	0.26	1.95	78495	65979	12516	88027	58735	29291	-16776	-1.34
Photographers	8.2	10698	2095	0.84	0.16	0.15	0.03	4.79	0.59	0.5	1.19	76156	62733	13423	82175	61816	20359	-6936	-0.52
Visual Arts and Crafts Professionals	5.3	1978	5504	0.26	0.74	0.14	0.06	2.26	0.36	0.26	1.36	70264	55636	14629	76254	66013	10241	4388	0.3
Media Professionals	5.0	9461	4340	0.69	0.31	0.1	0.07	1.46	0.42	0.39	1.07	77694	64970	12724	78601	71145	7456	5268	0.41
"Artistic Directors, and Media Producers and Presenters"	7.9	5605	3570	0.61	0.39	0.13	0.03	4.91	0.39	0.43	0.92	83648	64403	19245	82753	70708	12045	7200	0.37
"Authors, and Book and Script Editors"	8.4	8616	2707	0.76	0.24	0.12	0.07	1.75	0.5	0.21	2.4	75658	59555	16102	86092	60609	25483	-9380	-0.58
"Film, Television, Radio and Stage Directors"	6.6	10749	6374	0.63	0.37	0.13	0.04	3.47	0.35	0.24	1.44	80317	63219	17098	76989	66977	10011	7087	0.41
Journalists and Other Writers	8.5	3630	6495	0.36	0.64	0.12	0.03	4.14	0.45	0.33	1.37	73870	63610	10260	75855	61964	13891	-3632	-0.35
Accountants	1.3	7556	5170	0.59	0.41	0.12	0.07	1.77	0.36	0.3	1.17	77150	59779	17371	85012	65488	19524	-2153	-0.12
"Auditors, Company Secretaries and Corporate Treasurers"	5.9	6163	2508	0.71	0.29	0.13	0.07	1.96	0.57	0.22	2.58	70445	59616	10829	87888	60462	27426	-16597	-1.53
"Financial Brokers and Dealers, and Investment Advisers"	4.5	9944	2471	0.8	0.2	0.14	0.06	2.16	0.52	0.29	1.82	82065	66034	16031	86069	58970	27098	-11067	-0.69
Financial Brokers	3.2	5702	6287	0.48	0.52	0.13	0.03	3.92	0.39	0.44	0.89	84446	57336	27110	86669	61756	24913	2197	0.08
Financial Dealers	0.3	2527	6992	0.27	0.73	0.12	0.06	1.93	0.58	0.38	1.51	77761	61347	16414	79313	72178	7135	9279	0.57
Financial Investment Advisers and Managers	3.6	10623	1782	0.86	0.14	0.12	0.04	3.09	0.55	0.37	1.51	72574	55467	17107	77409	72757	4651	12456	0.73
Human Resource Professionals	3.2	9182	1571	0.85	0.15	0.11	0.04	2.38	0.43	0.34	1.27	79841	55011	24830	83406	63362	20044	4786	0.19
ICT Trainers	3.9	1794	5937	0.23	0.77	0.14	0.05	2.88	0.5	0.24	2.12	70655	68231	2424	84143	71805	12338	-9915	-4.09
Training and Development Professionals	3.3	5811	2434	0.7	0.3	0.14	0.06	2.51	0.32	0.2	1.61	81199	60624	20575	86295	69055	17240	3334	0.16
"Actuaries, Mathematicians and Statisticians"	4.2	1513	1886	0.45	0.55	0.11	0.05	2.11	0.57	0.38	1.52	80750	67605	13145	75778	61852	13925	-780	-0.06
"Archivists, Curators and Records Managers"	7.8	2521	5464	0.32	0.68	0.11	0.06	1.75	0.57	0.26	2.2	73473	55891	17582	80287	65458	14828	2754	0.16
Economists	1.3	8611	2019	0.81	0.19	0.14	0.05	2.6	0.31	0.38	0.81	70020	60796	9224	85415	59082	26333	-17108	-1.85
Intelligence and Policy Analysts	8.3	7921	6631	0.54	0.46	0.15	0.06	2.56	0.41	0.38	1.08	77477	60019	17458	82412	59731	22681	-5223	-0.3
Land Economists and Valuers	4.0	7068	2192	0.76	0.24	0.14	0.04	3.81	0.39	0.49	0.81	77904	65486	12418	86964	72060	14904	-2486	-0.2
Librarians	0.9	6279	4559	0.58	0.42	0.13	0.04	3.05	0.33	0.44	0.75	77156	62932	14224	82940	59161	23779	-9555	-0.67
Management and Organisation Analysts	3.4	5843	4451	0.57	0.43	0.15	0.05	3.31	0.51	0.47	1.09	81751	68192	13559	89227	60412	28814	-15255	-1.13
Other Information and Organisation Professionals	6.0	4505	6052	0.43	0.57	0.12	0.06	2.15	0.49	0.26	1.92	70709	64267	6442	80677	62040	18637	-12195	-1.89
Advertising and Marketing Professionals	3.4	8033	4607	0.64	0.36	0.11	0.06	1.78	0.49	0.22	2.26	81454	60967	20487	78342	63809	14533	5954	0.29
ICT Sales Professionals	8.1	4967	6015	0.45	0.55	0.14	0.02	6.03	0.32	0.42	0.76	84390	58908	25483	85244	65081	20163	5320	0.21
Public Relations Professionals	2.4	8075	1352	0.86	0.14	0.1	0.04	2.75	0.5	0.42	1.2	73061	57099	15961	89031	66921	22111	-6149	-0.39
Technical Sales Representatives	1.6	5951	6054	0.5	0.5	0.14	0.04	3.45	0.53	0.3	1.76	77855	68256	9599	76564	64042	12522	-2924	-0.3
"Design, Engineering, Science and Transport Professionals. Design engineer - type not specified, ATO RDCC"	9.0	9471	6367	0.6	0.4	0.14	0.07	1.97	0.36	0.43	0.85	73493	65766	7727	83097	62425	20672	-12946	-1.68
Air Transport Professionals	1.4	8539	3472	0.71	0.29	0.14	0.03	4.16	0.4	0.3	1.36	70907	58147	12760	84654	66013	18640	-5880	-0.46
Marine Transport Professionals	7.4	3128	2455	0.56	0.44	0.15	0.04	3.36	0.33	0.45	0.74	82903	57057	25847	89885	58377	31508	-5661	-0.22
"Architects, Designers, Planners and Surveyors"	9.8	9262	1413	0.87	0.13	0.12	0.05	2.62	0.31	0.4	0.76	74679	64480	10198	77627	70023	7604	2595	0.25
Architects and Landscape Architects	8.3	5334	6826	0.44	0.56	0.15	0.06	2.29	0.32	0.47	0.68	81035	63167	17868	79120	63236	15884	1984	0.11
Cartographers and Surveyors	4.2	5793	1861	0.76	0.24	0.15	0.04	3.48	0.51	0.46	1.1	76199	66390	9810	86314	63730	22584	-12774	-1.3
"Fashion, Industrial and Jewellery Designers"	1.1	8486	6610	0.56	0.44	0.14	0.04	3.75	0.51	0.25	2.06	83355	56894	26461	86043	68932	17111	9349	0.35
"Graphic and Web Designers, and Illustrators"	5.0	9902	2050	0.83	0.17	0.14	0.06	2.42	0.4	0.23	1.74	75805	66326	9479	84383	61791	22591	-13112	-1.38
Interior Designers	6.8	2001	4512	0.31	0.69	0.15	0.04	3.95	0.31	0.38	0.83	81251	65803	15449	89683	61682	28002	-12553	-0.81
Urban and Regional Planners	5.2	8208	2995	0.73	0.27	0.13	0.03	3.73	0.47	0.41	1.14	74867	65254	9613	79902	71994	7908	1705	0.18
Engineering Professionals	2.2	9438	3283	0.74	0.26	0.13	0.06	2.38	0.52	0.2	2.54	84376	55751	28625	79054	68606	10449	18177	0.63
Chemical and Materials Engineers	9.1	7161	3081	0.7	0.3	0.13	0.03	4.28	0.57	0.33	1.71	74210	60557	13653	77553	59674	17879	-4226	-0.31
Civil Engineering Professionals	1.1	2787	5924	0.32	0.68	0.13	0.03	4.96	0.53	0.25	2.11	76734	56569	20165	77279	60381	16898	3268	0.16
Electrical Engineers	8.9	6326	2571	0.71	0.29	0.15	0.05	2.91	0.34	0.45	0.76	83604	58953	24651	78854	61023	17831	6820	0.28
Electronics Engineers	4.2	8434	3606	0.7	0.3	0.1	0.05	1.99	0.44	0.34	1.3	82038	58172	23865	89268	68030	21238	2628	0.11
"Industrial, Mechanical and Production Engineers"	7.5	4436	5299	0.46	0.54	0.14	0.03	5.73	0.38	0.25	1.51	76785	69069	7716	86624	60006	26619	-18903	-2.45
Mining Engineers	5.7	3396	6721	0.34	0.66	0.12	0.05	2.47	0.5	0.25	1.98	78708	56539	22169	80938	64563	16375	5794	0.26
Other Engineering Professionals	4.6	1199	6706	0.15	0.85	0.13	0.06	1.98	0.48	0.47	1.02	76853	62810	14043	80901	71265	9636	4407	0.31
Natural and Physical Science Professionals	1.0	3242	5304	0.38	0.62	0.11	0.06	1.7	0.5	0.41	1.22	74842	57011	17831	85973	61277	24695	-6864	-0.38
Agricultural and Forestry Scientists	4.9	3612	2710	0.57	0.43	0.11	0.04	2.52	0.32	0.47	0.68	80490	57973	22517	79717	63373	16343	6174	0.27
"Chemists, and Food and Wine Scientists"	7.1	1518	4171	0.27	0.73	0.11	0.04	2.94	0.39	0.47	0.81	82305	60985	21320	78101	71790	6311	15009	0.7
Environmental Scientists	5.3	4308	3108	0.58	0.42	0.13	0.06	2.28	0.48	0.41	1.18	84686	61748	22938	86667	59944	26723	-3785	-0.17
Geologists and Geophysicists	3.5	6802	4682	0.59	0.41	0.11	0.05	2.09	0.55	0.25	2.22	80304	56811	23494	89440	67395	22045	1449	0.06
Life Scientists	6.0	1196	1895	0.39	0.61	0.15	0.02	6.19	0.56	0.27	2.08	78682	60615	18067	78378	64414	13964	4103	0.23
Medical Laboratory Scientists	4.6	4180	3717	0.53	0.47	0.15	0.03	4.96	0.45	0.37	1.23	77269	69735	7534	79846	59783	20064	-12529	-1.66
Veterinarians	6.2	6609	3089	0.68	0.32	0.15	0.04	3.96	0.4	0.28	1.42	71707	67477	4230	81456	64791	16664	-12434	-2.94
Other Natural and Physical Science Professionals	3.4	8522	6138	0.58	0.42	0.14	0.04	3.79	0.3	0.46	0.66	79257	55634	23623	89944	70741	19203	4420	0.19
Education Professionals	3.4	10385	1451	0.88	0.12	0.15	0.05	3.19	0.45	0.22	2.03	72964	67820	5144	79031	59605	19426	-14282	-2.78
School Teachers	5.2	4109	2840	0.59	0.41	0.12	0.06	2.08	0.31	0.39	0.8	84950	62855	22095	81197	65008	16189	5906	0.27
